Capacity,BlockSize,Associativity,WriteThrough,WriteAllocate,MissRate,TotalTime
65536,128,2,1,1,0.149511,1945531
65536,256,2,0,0,0.150956,1945311
65536,256,2,0,1,0.132612,2913591
65536,256,2,1,0,0.150956,1844331
65536,256,2,1,1,0.132612,1867191
65536,1,4,0,0,0.266436,2301251
65536,1,4,0,1,0.239172,3271971
65536,1,4,1,0,0.266436,2252431
65536,1,4,1,1,0.239172,2333931
65536,2,4,0,0,0.266436,2301251
65536,2,4,0,1,0.239172,3271971
65536,2,4,1,0,0.266436,2252431
65536,2,4,1,1,0.239172,2333931
65536,4,4,0,0,0.266436,2301251
65536,4,4,0,1,0.239172,3271971
65536,4,4,1,0,0.266436,2252431
65536,4,4,1,1,0.239172,2333931
65536,8,4,0,0,0.266436,2301251
65536,8,4,0,1,0.239172,3271971
65536,8,4,1,0,0.266436,2252431
65536,8,4,1,1,0.239172,2333931
65536,16,4,0,0,0.217819,2160651
65536,16,4,0,1,0.200077,3103851
65536,16,4,1,0,0.217819,2101511
65536,16,4,1,1,0.200077,2165931
65536,32,4,0,0,0.207307,2170771
65536,32,4,0,1,0.194767,3135411
65536,32,4,1,0,0.207307,2098031
65536,32,4,1,1,0.194767,2150631
65536,64,4,0,0,0.167842,2026611
65536,64,4,0,1,0.157985,2992771
65536,64,4,1,0,0.167842,1935791
65536,64,4,1,1,0.157985,1983791
65536,128,4,0,0,0.158105,1991831
65536,128,4,0,1,0.147805,2964891
65536,128,4,1,0,0.158105,1889871
65536,128,4,1,1,0.147805,1937711
65536,256,4,0,0,0.147452,1933851
65536,256,4,0,1,0.131438,2909871
65536,256,4,1,0,0.147452,1837971
65536,256,4,1,1,0.131438,1861731
65536,1,8,0,0,0.264897,2292771
65536,1,8,0,1,0.239348,3274071
65536,1,8,1,0,0.264897,2246711
65536,1,8,1,1,0.239348,2338731
65536,2,8,0,0,0.264897,2292771
65536,2,8,0,1,0.239348,3274071
65536,2,8,1,0,0.264897,2246711
65536,2,8,1,1,0.239348,2338731
65536,4,8,0,0,0.264897,2292771
65536,4,8,0,1,0.239348,3274071
65536,4,8,1,0,0.264897,2246711
65536,4,8,1,1,0.239348,2338731
65536,8,8,0,0,0.264897,2292771
65536,8,8,0,1,0.239348,3274071
65536,8,8,1,0,0.264897,2246711
65536,8,8,1,1,0.239348,2338731
65536,16,8,0,0,0.214139,2147231
65536,16,8,0,1,0.196607,3090331
65536,16,8,1,0,0.214139,2088891
65536,16,8,1,1,0.196607,2149311
65536,32,8,0,0,0.200704,2141811
65536,32,8,0,1,0.189024,3106251
65536,32,8,1,0,0.200704,2072711
65536,32,8,1,1,0.189024,2123991
65536,64,8,0,0,0.162219,2001151
65536,64,8,0,1,0.153888,2972431
65536,64,8,1,0,0.162219,1916131
65536,64,8,1,1,0.153888,1964711
65536,128,8,0,0,0.157155,1988971
65536,128,8,0,1,0.147831,2964151
65536,128,8,1,0,0.157155,1889991
65536,128,8,1,1,0.147831,1937991
65536,256,8,0,0,0.145513,1927991
65536,256,8,0,1,0.130935,2908191
65536,256,8,1,0,0.145513,1835431
65536,256,8,1,1,0.130935,1859471
65536,1,16,0,0,0.265615,2299831
65536,1,16,0,1,0.240535,3279651
65536,1,16,1,0,0.265615,2252891
65536,1,16,1,1,0.240535,2347131
65536,2,16,0,0,0.265615,2299831
65536,2,16,0,1,0.240535,3279651
65536,2,16,1,0,0.265615,2252891
65536,2,16,1,1,0.240535,2347131
65536,4,16,0,0,0.265615,2299831
65536,4,16,0,1,0.240535,3279651
65536,4,16,1,0,0.265615,2252891
65536,4,16,1,1,0.240535,2347131
65536,8,16,0,0,0.265615,2299831
65536,8,16,0,1,0.240535,3279651
65536,8,16,1,0,0.265615,2252891
65536,8,16,1,1,0.240535,2347131
65536,16,16,0,0,0.214001,2146791
65536,16,16,0,1,0.196728,3090171
65536,16,16,1,0,0.214001,2088551
65536,16,16,1,1,0.196728,2149971
65536,32,16,0,0,0.198194,2131151
65536,32,16,0,1,0.186977,3096551
